Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
66 ANTRIM ST,6,114-49,114,49,3233,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1024774238 42.3717390528)
24 GARDEN ST,10,216-18,216,18,5731,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1237868598 42.3779572012)
93-97 MONTGOMERY ST,11,190-221,190,221,4000,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1329896806 42.3961905484)
20 COGSWELL AVE,11,199-119,199,119,3159,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1247273626 42.3908322413)
12 GRAY GDNS E,9,207-66,207,66,9615,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1265490961 42.3840677132)
28-30 DONNELL ST,9,229-26,229,26,6000,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1315092297 42.3845811792)
28 ELM ST,4,88-41,88,41,2294,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0982244742 42.3678164915)
2353 MASSACHUSETTS AVE,11,183-102,183,102,16028,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,64,groundfloor,,,true,,POINT (-71.1287076584 42.396572658900006)
203 PROSPECT ST,6,109-81,109,81,3469,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1008086259 42.3705670425)
18-20 MARCELLA ST,3,37-80,37,80,2748,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.0897257395 42.3713288597)
17 GRAY ST,9,212-5,212,5,5634,111,Residential,4-8-UNIT-APT,5,,,,true,,POINT (-71.1223774118 42.3829905561)
80 SIXTH ST,1,26-35,26,35,783,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0852288418 42.3690405235)
106 FAYERWEATHER ST,10,233-86,233,86,2870,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1368190037 42.3825559094)
93 FRESH POND PKWY,10,249-201,249,201,8552,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1440083829 42.3792719281)
5 KENWAY ST,10,221-83,221,83,1389,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13179137840001 42.3759395863)
460-462 PUTNAM AVE,5,102-45,102,45,8225,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1103218663 42.3589945332)
325 WESTERN AVE,7,122-13,122,13,2160,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.113418907 42.3647141942)
22 PLEASANT ST,7,105-51,105,51,2906,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1069496135 42.3649042123)
48 FAYERWEATHER ST,10,237-73,237,73,24818,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1373194776 42.3795345375)
355 HURLEY ST,1,33-75,33,75,1544,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.0857251121 42.3691085831)
152 PROSPECT ST,4,88-49,88,49,15188,112,Residential,>8-UNIT-APT,23,,,,,,POINT (-71.1010437084 42.3687962034)
3 HUBBARD PARK DR,10,222-26,222,26,9650,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1306115719 42.3769375009)
587 PUTNAM AVE,5,96-138,96,138,1489,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1072877119 42.3568056518)
44 COGSWELL AVE,11,199-108,199,108,3210,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1258015253 42.3897992599)
30 COPLEY ST,9,262-108,262,108,4285,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1347041648 42.384706511)
12 SALEM ST,5,93-94,93,94,2340,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1042440611 42.3624145162)
381 BROADWAY,6,113-1,113,1,13600,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1052981919 42.3712917416)
56 SCIARAPPA ST,1,24-96,24,96,1975,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.08136756980001 42.3709643433)
136 FIFTH ST,1,26-72,26,72,1400,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0835028774 42.3689460927)
16 COTTAGE ST,5,103-107,103,107,2163,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1063131961 42.3626378691)
19 FULKERSON ST,1,34-148,34,148,501,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0871675906 42.3713327051)
60 SPRING ST,1,24-14,24,14,757,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.080778208 42.3688890698)
312 HURON AVE,10,237-72,237,72,4738,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1365474937 42.3811355813)
5 STORY ST,10,168-4,168,4,2150,943,Higher Education,Other Educ & Research Org,0,,,,,Educ NonTax,POINT (-71.1222866445 42.3742371048)
1826 MASSACHUSETTS AVE,9,177-71,177,71,12007,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.1195339178 42.3871013854)
7 DANA ST,6,116-6,116,6,8970,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1105045053 42.3700938682)
7 WARE ST,6,136-20,136,20,8700,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1134316954 42.3723585844)
158 BRATTLE ST,10,239-67,239,67,12444,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1339145886 42.3771131812)
26 MEAD ST,11,199-44,199,44,3300,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1255343513 42.3899889889)
88 COLUMBIA ST,4,75-151,75,151,2353,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0984685963 42.3655367187)
25 WASHINGTON AVE,9,211-55,211,55,8020,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1231522263 42.3846871614)
350 BROADWAY,6,108-8,108,8,1872,0101,Residential Ground Floor Comm,MXD SNGL-FAM-RE,1,groundfloor,,,,,POINT (-71.1038007973 42.3702311758)
20C BOND ST,9,215-51,215,51,3024,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1265067355 42.3810665255)
6 REED STREET TER,11,190-198,190,198,1565,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1327456292 42.3963316206)
121 FAIRVIEW AVE,13,257-53,257,53,192230,953,Cemetary,Cemeteries,0,,,,,City NonTax,POINT (-71.1550048413 42.3794756939)
100A-102 HAMPSHIRE ST,4,77-81,77,81,1836,111,Residential,4-8-UNIT-APT,8,,,,true,,POINT (-71.0954973129 42.369153146)
1 MCLEAN PL,11,192-5,192,5,10140,111,Residential,4-8-UNIT-APT,8,,,,,,POINT (-71.1314120434 42.3950561883)
77 SIXTH ST,1,33-49,33,49,3086,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.0855851225 42.3690887108)
37 UNION ST,3,79-45,79,45,2730,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.095160723 42.37034253400001)
416 MT AUBURN ST,10,242A-145,242A,145,2369,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1391081243 42.3746885316)
371 BROADWAY,6,113-81,113,81,5684,112,Residential,>8-UNIT-APT,10,,,,true,,POINT (-71.1047415868 42.371050408)
26 SACRAMENTO ST,8,156-105,156,105,5934,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1171742598 42.3823301057)
40 KINNAIRD ST,7,124-94,124,94,2123,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1089837803 42.365870181)
22 ORCHARD ST,11,179-46,179,46,3320,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1198908341 42.3906938109)
399 Binney St,3,39-173,39,173,39580,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.090365815 42.3679532016)
59 ALLSTON ST,5,96-88,96,88,4011,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1059269889 42.3575863425)
69 RINDGE AVE,11,196-53,196,53,3432,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1278152878 42.39285995)
132 GARDEN ST,9,229-114,229,114,3501,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13126285910002 42.3845409994)
93 JACKSON ST,11,190-71,190,71,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1349832778 42.3960538907)
42 BLAKESLEE ST,10,232-56,232,56,4951,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1347579511 42.3811148664)
131 HOLWORTHY ST,13,253-63,253,63,4786,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.15053411880001 42.378222395)
25 NORMANDY TER,12,267A-257,267A,257,5700,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1545061842 42.3944725214)
14 WILLIAM ST,5,106-4,106,4,4118,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1058019111 42.3630746693)
77 WENDELL ST,8,150-99,150,99,4023,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1140849697 42.382176239)
394(390) WASHINGTON ST,4,91-117,91,117,7891,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1002706427 42.3656280367)
225 LAKEVIEW AVE,10,234-126,234,126,6809,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1402977345 42.3828037425)
6 KIRKLAND RD,6,142-76,142,76,3289,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1112463599 42.3768299933)
40 FAIRMONT ST,5,127-65,127,65,2010,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1113169093 42.361837333)
258 PROSPECT ST,4,87-35,87,35,4718,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0990780329 42.3716298709)
28 KIRKLAND ST,6,143-19,143,19,19564,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.1135864638 42.3765331513)
100 WINTER ST,1,22-43,22,43,1100,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0827151916 42.3726778114)
134 MT AUBURN ST,10,166-35,166,35,3312,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1241015531 42.3735872499)
33 UNION ST,3,79-47,79,47,2730,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0952450725 42.3701961069)
863 MAIN ST,4,91-66,91,66,2845,031,Commerical w/ Residential,MULTIUSE-COM,4,mixed,,,,,POINT (-71.098630984 42.363513312)
6 ARCADIA ST,8,151-97,151,97,1651,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1144368787 42.3838653125)
51 PINE ST,4,75-10,75,10,3167,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.098287991 42.3649213321)
21 PINE ST,4,75-100,75,100,5890,112,Residential,>8-UNIT-APT,12,,,,,,POINT (-71.0985367801 42.3643789794)
23 COTTAGE ST,5,106-19,106,19,2925,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1062907414 42.3630502655)
40 JACKSON ST,11,193-10,193,10,6000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1355207422 42.3947185719)
137 LINNAEAN ST,9,212-45,212,45,9664,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1242640236 42.3829887047)
55 WHEELER ST,12,267F-286,267F,286,233611,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1445996943 42.3912274732)
20 NORRIS ST,11,192-138,192,138,5724,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1291659061 42.3954397417)
46-48 CONCORD AVE,10,225-7,225,7,7187,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1281126766 42.380438442400006)
686 CAMBRIDGE ST,3,37-88,37,88,2600,0101,Residential Ground Floor Comm,MXD SNGL-FAM-RE,1,groundfloor,,,,,POINT (-71.0880482801 42.3719177014)
64 ACORN PARK DR,11,267.1-240,267.1,240,14768,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.1529485692 42.3977231606)
169 SPRING ST,1,33-23,33,23,1403,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0863719333 42.369905426900004)
1124 CAMBRIDGE ST,3,85-28,85,28,5958,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,4,groundfloor,,,,,POINT (-71.0960301205 42.372863713200005)
318 THIRD ST,1,14-44,14,44,49470,406,Office/R&D,HIGH-TECH,0,,,,,,POINT (-71.0823638616 42.3646900551)
650 CONCORD AVE,12,266-33,266,33,278786,113,Boarding House/Assisted Living,ASSISTED-LIV,71,,,,,,POINT (-71.1490325447 42.3889135014)
55 MT PLEASANT ST,9,201.5-48,201.5,48,3308,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1254387465 42.3880937227)
205-207 NORFOLK ST,4,87-103,87,103,11318,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0988876303 42.369283292)
3 CLEVELAND ST,6,135-116,135,116,2069,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1100009391 42.3719394472)
275-277 RIVER ST,7,126-140,126,140,3968,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.1127995858 42.3627298255)
45 MAPLE AVE,6,112-135,112,135,4429,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1040798475 42.3735966249)
59 GRANITE ST,5,99-63,99,63,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1129996645 42.3568014963)
32 VALENTINE ST,5,94-188,94,188,1446,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1064332011 42.3605342972)
9 MULLER AVE,11,186-80,186,80,5320,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1325624138 42.4009772063)
321-323 MT AUBURN ST,10,239-48,239,48,6172,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1348102729 42.3751719665)
23 FAIRMONT AVE,5,127-168,127,168,3035,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1126289692 42.3619768385)
22 SACRAMENTO PL,8,155-19,155,19,2420,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1168000942 42.3832510398)
58 SPRING ST,1,24-16,24,16,800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0806534122 42.3688733853)
214 HARVARD ST,4,89-91,89,91,2153,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0988135286 42.3669740127)
15-17 SURREY ST,7,132-120,132,120,3010,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.11414709120001 42.36891519390001)
20 CARVER ST,8,149-79,149,79,4753,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1123611658 42.3820927149)
13 HOLMES ST,13,253-146,253,146,4400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1497231122 42.3778330559)
237 BRATTLE ST,10,250-39,250,39,19426,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1424814984 42.37606023920001)
250-252 WESTERN AVE,7,126-63,126,63,1640,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1116225937 42.3644824063)
10 EIGHTH ST,1,34-37,34,37,1800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0860450098 42.3713653879)
3 RIVERSIDE PL,7,130-7,130,7,1212,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1146811469 42.3647788492)
56 MATIGNON RD,11,185-51,185,51,4573,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1333559253 42.4020772915)
55 CEDAR ST,11,192-11,192,11,8937,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1312432573 42.3944469956)
118R INDUSTRIAL PARK WAY,1,1A-67,1A,67,255800,400,Industrial,MANUFACTURNG,0,,,,,,POINT (-71.0671746155 42.3710197598)
446 CAMBRIDGEPARK DR,11,268C-35,268C,35,16172,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1415506625 42.3943881314)
14 GREENOUGH AVE,6,112-15,112,15,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1061374692 42.3733140852)
20 DONNELL ST,9,229-23,229,23,5052,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1318349436 42.3841935618)
25 SACRAMENTO ST,8,155-35,155,35,4107,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1171206747 42.3827335008)
23 WHITE ST,11,179-87,179,87,226346,323,Commercial,SH-CNTR/MALL,0,,,,,,POINT (-71.1184165325 42.389618187)
21 DUNSTER ST,7,160-59,160,59,7694,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.11917251570001 42.3729073598)
106 RAYMOND ST,9,206-17,206,17,5782,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1270937046 42.3861353841)
LOWELL ST,10,239-55,239,55,11990,930,Government,Government Operations,0,,,,,City NonTax,POINT (-71.1334805635 42.3753793115)
42 PORTER ST,3,36-77,36,77,2588,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0892045887 42.3734479404)
8 WESTLEY AVE,11,191-10,191,10,2040,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1320060225 42.3976150696)
34 SHERMAN ST,9,205-17,205,17,3200,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1303344585 42.3856019286)
64 PRENTISS ST,8,151-104,151,104,3400,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1154816316 42.3840114851)
166 MAGAZINE ST,5,99-22,99,22,5987,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1125249986 42.3574465493)
50 PEMBERTON ST,11,198-46,198,46,2892,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1261569366 42.3913967064)
238-242 NORFOLK ST,4,86-11,86,11,5020,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.097865159 42.3699771556)
115 LEXINGTON AVE,10,235-85,235,85,9100,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.140396269 42.3788997279)
210 ERIE ST,5,102-80,102,80,5015,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1085455237 42.360343328)
10 FRANCIS AVE,8,146-89,146,89,8148,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1114818955 42.3779091723)
105 CHILTON ST,10,263-112,263,112,3600,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1373352164 42.38430213)
24 LOCKE ST,11,183-34,183,34,3830,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1270462372 42.3967141691)
381-383 HURON AVE,10,234-66,234,66,5000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1393729423 42.3813029448)
43 GIBSON ST,10,221-15,221,15,4500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1322123963 42.3761452232)
66-70 PUTNAM AVE,7,121-76,121,76,3433,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1133304273 42.3680199117)
24 MEACHAM RD,11,182-13,182,13,6720,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1263453109 42.39559941880001)
144 SPRING ST,1,26-5,26,5,3700,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.0847503442 42.3693317451)
7 CHETWYND RD,9,205-81,205,81,3614,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1283200074 42.3862599416)
8-12 MAGAZINE ST,5,106-125,106,125,21858,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,80,groundfloor,,,,,POINT (-71.1046600966 42.3646059266)
254 GARDEN ST,9,262-157,262,157,2723,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1356319429 42.3863028015)
30 ALPINE ST,10,260-58,260,58,5600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1377999093 42.3842373187)
110 THORNDIKE ST,1,25-59,25,59,5000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0829570545 42.3697968534)
56 RESERVOIR ST,10,232-41,232,41,4571,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.135695885 42.3807417386)
45B HANCOCK ST,7,120-105,120,105,1593,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1094859487 42.3679812993)
1173-1201 MASSACHUSETTS AVE,6,134-1,134,1,30902,942,Higher Education,Private College,0,,,,,,POINT (-71.114721889 42.3719245404)
67 BELMONT ST,13,255-70,255,70,3908,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.152762089 42.3752357703)
5 FAYERWEATHER ST,10,236-27,236,27,10512,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1377702393 42.3771768555)
15A ROBERTS RD,6,140-152,140,152,3201,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1086696799 42.3759874505)
109 SMITH PL,12,267.3-282,267.3,282,29558,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.15096684490001 42.3930506957)
19 MELLEN ST,8,156-49,156,49,2846,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1181548924 42.381042361)
1570 MASSACHUSETTS AVE,9,172-104,172,104,1998,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1206209784 42.378758597)
124 THORNDIKE ST,1,25-95,25,95,2500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0838344275 42.3699133944)
14-16 KELLY RD,5,104-116,104,116,6534,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1090574407 42.36206813310001)
34 SHEA RD,11,183-77,183,77,1800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1276688156 42.3967622937)
49 UNION ST,3,79-122,79,122,5704,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0949982082 42.3706310873)
26 HEALEY ST,10,225-35,225,35,5875,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1292104738 42.3800104106)
88 GARDEN ST,9,227-34,227,34,13993,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1280582935 42.3829155305)
19 TENNEY ST,11,180-4,180,4,2500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1210594609 42.39295073440001)
17 MAGEE ST,7,122-119,122,119,3774,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1124087626 42.3665092648)
6 VAN NORDEN ST,11,195-78,195,78,3960,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1299580235 42.3915552588)
78 RESERVOIR ST,10,232-17,232,17,4050,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1354166636 42.381999068)
42 JEFFERSON ST,3,36-106,36,106,2425,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0901985539 42.37307716670001)
57 LAKEVIEW AVE,10,236-5,236,5,14113,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1386920015 42.3781987103)
61 MOONEY ST,12,267.3-276,267.3,276,43399,407,Industrial,CLEAN-MANUF,0,,,,,,POINT (-71.1538975923 42.3954295625)
42 CRESCENT ST,8,150-94,150,94,2389,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.114510873 42.3828691638)
40 NORRIS ST,11,192-151,192,151,25700,112,Residential,>8-UNIT-APT,25,,,,,,POINT (-71.129660351 42.3951440237)
216 ELM ST,3,80-162,80,162,1901,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0958652099 42.371827371)
701 CONCORD AVE,12,267D-310,267D,310,33523,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1513384899 42.3905806901)
1 IRVING TER,6,142-133,142,133,1702,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1110460095 42.37585066060001)
58 MAGOUN ST,11,189-20,189,20,5737,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1349379842 42.398899714)
104 HAMPSHIRE ST,4,77-85,77,85,5012,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0958210457 42.36937932800001)
24 GRISWOLD ST,12,267B-212,267B,212,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1564374181 42.3915875263)
8 ELLERY SQ,6,135-132,135,132,825,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1093758614 42.3721223007)
36 JAY ST,7,123-80,123,80,3837,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1097772884 42.3657803648)
85 PUTNAM AVE,7,130-93,130,93,4010,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1138056126 42.3674023775)
38 SECOND ST,1,18-20,18,20,2400,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0785114429 42.3699630587)
18 R ASH ST,10,167-106,167,106,4448,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.1245473689 42.3745400508)
1 WALKER STREET PL,9,214-23,214,23,4155,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1236830177 42.3796061811)
49 LAWN ST,13,256-70,256,70,4922,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1537259727 42.3779897436)
30 WEBSTER AVE,3,40-239,40,239,246,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.0927799746 42.3674531361)
50 COOLIDGE AVE,10,242-34,242,34,137200,953,Cemetary,Cemeteries,0,,,,,City NonTax,POINT (-71.1396408939 42.3706639705)
10 FOUNTAIN TER,13,258-34,258,34,6196,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1508928401 42.3789985982)
143 PINE ST,4,75-34,75,34,2108,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0976080007 42.3665107334)
24 HIGHLAND ST,10,223-2,223,2,13103,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1331542683 42.3789759621)
60 PORTER RD,11,178-6,178,6,4616,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1217275331 42.3894990319)
155 LEXINGTON AVE,10,235-76,235,76,9157,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1406267498 42.379901146)
44 WEBSTER AVE,3,78-112,78,112,1709,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0928534642 42.3677753619)
17 KINNAIRD ST,7,125-26,125,26,2799,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1091296159 42.3646127153)
15 ASH ST,10,167-77,167,77,4995,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.125138243 42.3749097907)
103 NORMANDY AVE,12,267A-204,267A,204,3766,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1547171276 42.3940210187)
8 JEFFERSON ST,3,36-134,36,134,3364,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0886080234 42.372894167)
54 FAYETTE ST,6,114A-104,114A,104,4029,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.10250072 42.3730487332)
85 BOLTON ST,9,203A-73,203A,73,100956,404,Office/R&D,RES-&-DEV-FC,0,,,,,,POINT (-71.1304471379 42.3899782735)
185 WALDEN ST,9,204-80,204,80,6493,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1289751233 42.3870989503)
121 CUSHING ST,13,258-68,258,68,6576,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1519033755 42.3782537727)
24 SECKEL ST,3,78-107,78,107,5343,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0938979682 42.3694161142)
115 SCIARAPPA ST,1,26-82,26,82,2625,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0824284614 42.3682365739)
41 WILLIAM ST,5,105-102,105,102,4050,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1068937825 42.3641927647)
74 SPRING ST,1,24-8,24,8,2100,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0815094354 42.3689134815)
31A SACRAMENTO ST,8,155-48,155,48,4260,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.11665044080002 42.3829886091)
